PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
Cam Reddish,ATL,21,261,49,85,57.6,4,21,19,4,15,26.7,5,13,38.5,20,61,32.8,14,66,21.2,46,74,62.2,11,42,26.2,6,21,28.6,8,14,57.1,4,21,19,12,35,34.3,21,90,23.3
Cameron Johnson,PHX,25,335,38,58,65.5,10,15,66.7,6,15,40,5,14,35.7,56,120,46.7,33,113,29.2,38,56,67.9,11,20,55,11,29,37.9,18,47,38.3,28,53,52.8,46,100,46,43,133,32.3
Cameron Payne,PHX,26,204,30,60,50,8,20,40,12,22,54.5,8,10,80,12,26,46.2,27,66,40.9,27,53,50.9,16,37,43.2,18,25,72,4,10,40,2,5,40,6,15,40,30,75,40
Caris LeVert,IND,26,375,63,108,58.3,16,49,32.7,25,59,42.4,8,24,33.3,18,46,39.1,27,89,30.3,60,100,60,37,97,38.1,17,49,34.7,6,13,46.2,0,4,0,6,17,35.3,37,114,32.5
Carmelo Anthony,POR,36,563,28,52,53.8,18,44,40.9,50,112,44.6,49,106,46.2,43,123,35,46,126,36.5,28,51,54.9,18,58,31,104,235,44.3,9,26,34.6,10,28,35.7,19,54,35.2,65,166,39.2
Cedi Osman,CLE,25,446,59,125,47.2,11,37,29.7,8,21,38.1,1,8,12.5,27,89,30.3,52,166,31.3,58,115,50.4,16,62,25.8,6,16,37.5,8,23,34.8,7,29,24.1,15,52,28.8,63,204,30.9
Chris Boucher,TOR,28,445,140,213,65.7,12,32,37.5,2,4,50,3,8,37.5,15,43,34.9,59,145,40.7,136,204,66.7,16,42,38.1,5,13,38.5,1,7,14.3,8,19,42.1,9,26,34.6,65,160,40.6
Chris Paul,PHX,35,584,30,50,60,36,59,61,67,136,49.3,87,164,53,20,43,46.5,51,132,38.6,28,45,62.2,67,121,55.4,132,252,52.4,5,14,35.7,2,5,40,7,19,36.8,57,150,38
Christian Wood,HOU,25,414,134,173,77.5,17,51,33.3,10,25,40,8,30,26.7,16,44,36.4,33,91,36.3,128,160,80,31,78,39.7,14,53,26.4,4,10,40,4,11,36.4,8,21,38.1,37,102,36.3
Chuma Okeke,ORL,22,202,27,43,62.8,5,19,26.3,5,13,38.5,9,20,45,20,49,40.8,22,58,37.9,25,38,65.8,8,27,29.6,19,46,41.3,4,13,30.8,2,5,40,6,18,33.3,30,74,40.5
