PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
Jae Crowder,PHX,30,381,26,40,65,5,12,41.7,3,7,42.9,3,9,33.3,49,136,36,70,177,39.5,26,39,66.7,5,15,33.3,14,40,35,11,39,28.2,15,35,42.9,26,74,35.1,85,214,39.7
Jae'Sean Tate,HOU,25,412,151,230,65.7,20,41,48.8,0,8,0,1,4,25,24,68,35.3,20,61,32.8,139,203,68.5,32,74,43.2,2,8,25,14,30,46.7,7,24,29.2,21,54,38.9,22,74,29.7
Jakob Poeltl,SAS,25,282,143,207,69.1,24,54,44.4,8,17,47.1,0,3,0,1,1,100,0,0,0,133,190,70,37,78,47.4,6,14,42.9,0,0,0,0,0,0,0,0,-,0,0,0
Jalen Brunson,DAL,24,406,86,122,70.5,22,48,45.8,35,60,58.3,19,34,55.9,27,63,42.9,30,79,38,77,105,73.3,51,99,51.5,35,64,54.7,9,20,45,11,19,57.9,20,39,51.3,36,100,36
Jamal Murray,DEN,24,763,98,144,68.1,35,67,52.2,46,93,49.5,55,126,43.7,48,118,40.7,86,215,40,93,129,72.1,60,122,49.2,92,215,42.8,11,24,45.8,9,18,50,20,42,47.6,108,268,40.3
James Harden,BKN,31,711,149,250,59.6,53,111,47.7,9,24,37.5,6,10,60,22,53,41.5,93,263,35.4,134,212,63.2,75,165,45.5,8,18,44.4,1,6,16.7,4,10,40,5,16,31.3,112,309,36.2
James Wiseman,GSW,20,339,118,160,73.8,16,57,28.1,7,31,22.6,13,35,37.1,10,30,33.3,9,26,34.6,114,151,75.5,22,77,28.6,25,76,32.9,0,2,0,1,1,100,1,3,33.3,11,32,34.4
JaMychal Green,DEN,30,242,45,75,60,12,22,54.5,1,5,20,1,7,14.3,19,53,35.8,34,80,42.5,42,70,60,15,27,55.6,3,17,17.6,8,19,42.1,5,13,38.5,13,32,40.6,39,97,40.2
Jarrett Allen,CLE,22,330,175,246,71.1,20,45,44.4,4,13,30.8,5,13,38.5,2,5,40,3,8,37.5,168,228,73.7,28,69,40.6,8,21,38.1,1,2,50,1,2,50,2,4,50,3,8,37.5
JaVale McGee,DEN,33,215,75,114,65.8,26,62,41.9,4,13,30.8,3,6,50,2,7,28.6,3,13,23.1,71,105,67.6,30,70,42.9,7,21,33.3,1,3,33.3,0,1,0,1,4,25,4,16,25
Jaylen Brown,BOS,24,866,162,265,61.1,49,110,44.5,35,79,44.3,41,87,47.1,58,128,45.3,75,197,38.1,151,226,66.8,79,198,39.9,71,142,50,13,27,48.1,5,20,25,18,47,38.3,103,259,39.8
Jaylen Nowell,MIN,21,298,36,68,52.9,18,44,40.9,20,33,60.6,14,26,53.8,19,52,36.5,27,75,36,32,61,52.5,32,69,46.4,26,44,59.1,8,17,47.1,5,11,45.5,13,28,46.4,32,101,31.7
Jayson Tatum,BOS,23,892,151,241,62.7,44,118,37.3,43,103,41.7,35,95,36.8,43,99,43.4,88,236,37.3,139,213,65.3,68,170,40,76,188,40.4,9,21,42.9,6,23,26.1,15,44,34.1,109,283,38.5
Jeff Green,BKN,34,344,74,111,66.7,9,32,28.1,15,25,60,3,12,25,43,101,42.6,26,63,41.3,71,103,68.9,21,52,40.4,9,27,33.3,14,26,53.8,18,51,35.3,32,77,41.6,37,85,43.5
Jerami Grant,DET,27,810,139,235,59.1,32,86,37.2,21,64,32.8,39,103,37.9,41,116,35.3,73,206,35.4,132,210,62.9,49,141,34.8,60,167,35.9,9,31,29,15,34,44.1,24,65,36.9,81,231,35.1
Jeremy Lamb,IND,28,213,24,50,48,9,22,40.9,17,29,58.6,3,12,25,7,20,35,35,80,43.8,23,45,51.1,17,39,43.6,14,31,45.2,0,5,0,5,7,71.4,5,12,41.7,37,88,42
Jimmy Butler,MIA,31,506,158,239,66.1,31,80,38.8,25,74,33.8,13,38,34.2,12,39,30.8,7,36,19.4,149,213,70,48,130,36.9,35,96,36.5,2,9,22.2,3,16,18.8,5,25,20,9,43,20.9
JJ Redick,DAL,36,214,3,4,75,0,1,0,7,15,46.7,14,29,48.3,32,79,40.5,31,86,36,3,4,75,2,7,28.6,31,62,50,3,9,33.3,9,21,42.9,12,30,40,39,111,35.1
Joe Harris,BKN,29,519,58,97,59.8,11,20,55,20,36,55.6,9,20,45,66,133,49.6,101,213,47.4,58,91,63.7,25,47,53.2,18,43,41.9,15,24,62.5,22,55,40,37,79,46.8,127,260,48.8
Joe Ingles,UTA,33,343,44,63,69.8,11,23,47.8,6,10,60,0,0,0,56,105,53.3,68,142,47.9,38,54,70.4,23,41,56.1,0,2,0,22,38,57.9,17,31,54.8,39,69,56.5,85,179,47.5
Joel Embiid,PHI,27,572,113,172,65.7,35,88,39.8,54,115,47,47,86,54.7,18,28,64.3,32,83,38.6,101,151,66.9,67,147,45.6,93,180,51.7,1,1,100,1,1,100,2,2,100,36,92,39.1
John Collins,ATL,23,610,185,262,70.6,34,84,40.5,37,73,50.7,13,28,46.4,24,66,36.4,40,97,41.2,177,245,72.2,53,125,42.4,43,83,51.8,7,11,63.6,6,27,22.2,13,38,34.2,47,120,39.2
John Wall,HOU,30,568,109,212,51.4,16,34,47.1,13,31,41.9,20,75,26.7,21,57,36.8,50,159,31.4,107,198,54,26,65,40,34,115,29.6,2,7,28.6,3,6,50,5,13,38.5,57,181,31.5
Jonas Valanciunas,MEM,28,502,182,288,63.2,62,121,51.2,17,44,38.6,6,9,66.7,3,12,25,9,28,32.1,170,262,64.9,85,176,48.3,12,25,48,0,2,0,2,5,40,2,7,28.6,10,32,31.3
Jordan Clarkson,UTA,28,739,71,116,61.2,69,143,48.3,23,44,52.3,0,1,0,53,159,33.3,97,276,35.1,57,92,62,97,190,51.1,9,28,32.1,20,58,34.5,6,26,23.1,26,84,31,125,348,35.9
Jordan Poole,GSW,21,236,39,57,68.4,8,17,47.1,6,17,35.3,4,13,30.8,14,26,53.8,33,106,31.1,37,49,75.5,14,36,38.9,7,20,35,6,9,66.7,4,9,44.4,10,18,55.6,39,119,32.8
Josh Hart,NOP,26,342,69,113,61.1,8,13,61.5,3,6,50,6,14,42.9,31,94,33,33,102,32.4,69,109,63.3,10,20,50,9,22,40.9,6,32,18.8,14,37,37.8,20,69,29,42,123,34.1
Josh Jackson,DET,24,496,112,189,59.3,21,64,32.8,8,29,27.6,15,31,48.4,26,79,32.9,28,104,26.9,107,171,62.6,28,95,29.5,23,54,42.6,10,26,38.5,7,27,25.9,17,53,32.1,35,125,28
Josh Richardson,DAL,27,401,55,82,67.1,18,44,40.9,20,38,52.6,17,42,40.5,22,62,35.5,46,133,34.6,50,72,69.4,35,77,45.5,29,67,43.3,7,21,33.3,3,14,21.4,10,35,28.6,54,153,35.3
Jrue Holiday,MIL,30,501,125,191,65.4,22,51,43.1,22,40,55,15,34,44.1,22,63,34.9,50,122,41,113,170,66.5,50,99,50.5,23,54,42.6,11,24,45.8,5,21,23.8,16,45,35.6,55,136,40.4
Julius Randle,NYK,26,880,130,229,56.8,46,104,44.2,69,156,44.2,53,113,46.9,54,123,43.9,58,155,37.4,120,203,59.1,85,191,44.5,104,243,42.8,15,31,48.4,13,30,43.3,28,61,45.9,73,184,39.7
Justin Holiday,IND,32,437,50,85,58.8,2,6,33.3,1,8,12.5,8,18,44.4,59,152,38.8,63,168,37.5,50,82,61,2,10,20,9,28,32.1,29,62,46.8,25,66,37.9,54,128,42.2,68,190,35.8
Justin Jackson,OKC,26,212,33,46,71.7,10,29,34.5,6,18,33.3,3,6,50,10,39,25.6,24,74,32.4,27,39,69.2,18,40,45,8,23,34.8,2,14,14.3,2,6,33.3,4,20,20,29,90,32.2
Karl-Anthony Towns,MIN,25,549,135,212,63.7,34,80,42.5,8,30,26.7,11,24,45.8,29,73,39.7,50,130,38.5,130,197,66,39,91,42.9,26,74,35.1,1,7,14.3,4,8,50,5,15,33.3,68,173,39.3
Kawhi Leonard,LAC,29,764,130,180,72.2,53,104,51,73,145,50.3,52,118,44.1,28,70,40,58,147,39.5,120,159,75.5,101,201,50.2,92,201,45.8,11,21,52.4,8,15,53.3,19,36,52.8,62,169,36.7
Keldon Johnson,SAS,21,475,156,263,59.3,18,60,30,8,18,44.4,2,9,22.2,16,49,32.7,26,76,34.2,147,243,60.5,28,86,32.6,11,26,42.3,6,20,30,4,12,33.3,10,32,31.3,30,88,34.1
Kelly Olynyk,HOU,29,435,92,119,77.3,10,24,41.7,4,12,33.3,3,7,42.9,30,88,34.1,62,185,33.5,88,113,77.9,17,37,45.9,5,14,35.7,6,34,17.6,8,21,38.1,14,55,25.5,77,220,35
Kelly Oubre Jr.,GSW,25,629,145,243,59.7,31,82,37.8,19,39,48.7,6,19,31.6,41,120,34.2,32,126,25.4,133,213,62.4,55,136,40.4,13,39,33.3,15,40,37.5,21,53,39.6,36,93,38.7,38,150,25.3
Kemba Walker,BOS,30,470,54,91,59.3,11,35,31.4,15,36,41.7,15,46,32.6,17,59,28.8,77,203,37.9,52,76,68.4,24,67,35.8,26,84,31,1,5,20,0,3,0,1,8,12.5,86,239,36
Kendrick Nunn,MIA,25,432,77,126,61.1,14,30,46.7,11,30,36.7,18,35,51.4,18,57,31.6,60,154,39,73,115,63.5,26,58,44.8,22,53,41.5,8,25,32,5,14,35.7,13,39,33.3,64,167,38.3
Kenrich Williams,OKC,26,281,79,114,69.3,21,38,55.3,10,21,47.6,8,20,40,29,59,49.2,10,29,34.5,76,106,71.7,27,54,50,19,42,45.2,12,21,57.1,8,13,61.5,20,34,58.8,15,45,33.3
Kent Bazemore,GSW,31,227,41,63,65.1,9,22,40.9,3,11,27.3,5,18,27.8,29,74,39.2,15,39,38.5,36,56,64.3,16,34,47.1,8,29,27.6,19,41,46.3,7,24,29.2,26,65,40,16,46,34.8
Kentavious Caldwell-Pope,LAL,28,313,47,86,54.7,4,14,28.6,1,11,9.1,6,16,37.5,40,107,37.4,30,79,38,46,84,54.8,4,19,21.1,11,38,28.9,13,39,33.3,19,40,47.5,32,79,40.5,36,94,38.3
Kevin Durant,BKN,32,359,51,73,69.9,19,41,46.3,40,74,54.1,25,48,52.1,14,30,46.7,39,93,41.9,47,64,73.4,35,73,47.9,57,109,52.3,1,3,33.3,4,5,80,5,8,62.5,44,105,41.9
Kevin Huerter,ATL,22,517,46,84,54.8,24,61,39.3,29,59,49.2,13,24,54.2,46,112,41.1,57,177,32.2,42,72,58.3,45,107,42.1,28,58,48.3,10,23,43.5,15,36,41.7,25,59,42.4,78,226,34.5
Khem Birch,ORL,28,207,55,96,57.3,19,47,40.4,7,25,28,8,16,50,5,21,23.8,0,2,0,49,81,60.5,29,77,37.7,12,29,41.4,2,14,14.3,2,4,50,4,18,22.2,0,2,0
Khris Middleton,MIL,29,736,94,153,61.4,37,70,52.9,58,122,47.5,53,113,46.9,38,92,41.3,80,186,43,86,135,63.7,69,134,51.5,100,226,44.2,6,19,31.6,13,21,61.9,19,40,47.5,86,203,42.4
Kira Lewis Jr.,NOP,20,205,50,86,58.1,6,25,24,3,15,20,2,8,25,9,30,30,17,41,41.5,46,78,59,13,48,27.1,4,11,36.4,3,12,25,2,5,40,5,17,29.4,19,51,37.3
Kristaps Porzingis,DAL,25,480,89,133,66.9,31,58,53.4,27,68,39.7,18,38,47.4,13,32,40.6,54,151,35.8,87,122,71.3,39,91,42.9,40,90,44.4,5,8,62.5,4,7,57.1,9,15,60,61,178,34.3
Kyle Anderson,MEM,27,431,60,94,63.8,38,77,49.4,33,59,55.9,7,25,28,41,109,37.6,25,67,37.3,54,85,63.5,64,124,51.6,27,57,47.4,16,44,36.4,12,33,36.4,28,77,36.4,31,88,35.2
Kyle Kuzma,LAL,25,544,109,170,64.1,13,39,33.3,7,26,26.9,7,25,28,51,141,36.2,54,143,37.8,105,159,66,22,62,35.5,17,57,29.8,16,42,38.1,15,42,35.7,31,84,36.9,66,186,35.5
Kyle Lowry,TOR,35,491,69,116,59.5,9,29,31,10,29,34.5,16,39,41,29,67,43.3,83,211,39.3,62,98,63.3,23,61,37.7,29,77,37.7,8,15,53.3,3,7,42.9,11,22,50,95,247,38.5
Kyrie Irving,BKN,29,748,115,188,61.2,61,113,54,59,115,51.3,42,66,63.6,24,60,40,84,206,40.8,108,172,62.8,99,184,53.8,84,150,56,4,9,44.4,4,14,28.6,8,23,34.8,92,232,39.7
LaMarcus Aldridge,BKN,35,275,26,46,56.5,10,22,45.5,12,34,35.3,35,69,50.7,27,54,50,17,50,34,26,43,60.5,9,31,29,63,124,50.8,3,9,33.3,3,6,50,6,15,40,23,63,36.5
LaMelo Ball,CHA,19,509,110,202,54.5,21,41,51.2,13,38,34.2,12,27,44.4,16,52,30.8,60,149,40.3,108,188,57.4,32,78,41,16,44,36.4,7,22,31.8,6,17,35.3,13,39,33.3,68,176,38.6
Landry Shamet,BKN,24,271,15,32,46.9,3,4,75,6,15,40,5,15,33.3,36,84,42.9,43,121,35.5,14,31,45.2,6,13,46.2,10,26,38.5,9,24,37.5,14,30,46.7,23,54,42.6,56,148,37.8
Larry Nance Jr.,CLE,28,234,59,94,62.8,12,24,50,3,10,30,5,13,38.5,10,33,30.3,25,60,41.7,58,87,66.7,14,35,40,7,19,36.8,4,15,26.7,3,7,42.9,7,22,31.8,29,73,39.7
Lauri Markkanen,CHI,23,345,72,111,64.9,20,35,57.1,3,11,27.3,0,4,0,26,62,41.9,44,122,36.1,70,101,69.3,24,49,49,1,11,9.1,13,25,52,7,17,41.2,20,42,47.6,50,142,35.2
LeBron James,LAL,36,745,203,276,73.6,25,50,50,28,69,40.6,24,68,35.3,24,67,35.8,81,215,37.7,198,262,75.6,41,90,45.6,51,138,37,6,12,50,3,8,37.5,9,20,45,89,246,36.2
Lonnie Walker IV,SAS,22,384,62,111,55.9,8,25,32,13,29,44.8,16,38,42.1,23,65,35.4,42,116,36.2,57,104,54.8,17,44,38.6,27,61,44.3,8,18,44.4,4,17,23.5,12,35,34.3,51,141,36.2
Lonzo Ball,NOP,23,475,54,94,57.4,5,18,27.8,6,19,31.6,13,27,48.1,51,127,40.2,75,190,39.5,53,90,58.9,12,40,30,17,38,44.7,20,43,46.5,13,28,46.4,33,71,46.5,89,238,37.4
Lou Williams,ATL,34,469,49,93,52.7,29,71,40.8,34,81,42,30,86,34.9,29,71,40.8,26,67,38.8,44,76,57.9,56,132,42.4,49,139,35.3,11,24,45.8,5,14,35.7,16,38,42.1,32,85,37.6
Luguentz Dort,OKC,21,454,80,159,50.3,10,37,27,3,10,30,3,7,42.9,37,96,38.5,43,145,29.7,72,138,52.2,21,67,31.3,5,10,50,9,22,40.9,10,23,43.5,19,45,42.2,60,199,30.2
Luka Doncic,DAL,22,906,154,238,64.7,67,142,47.2,55,111,49.5,34,68,50,23,42,54.8,111,305,36.4,143,214,66.8,110,227,48.5,60,122,49.2,2,5,40,2,2,100,4,7,57.1,131,349,37.5
Luke Kennard,LAC,24,288,25,41,61,10,19,52.6,16,34,47.1,15,35,42.9,28,64,43.8,45,95,47.4,23,35,65.7,22,45,48.9,21,51,41.2,15,31,48.4,10,24,41.7,25,55,45.5,50,104,48.1
Malcolm Brogdon,IND,28,763,153,296,51.7,15,35,42.9,21,51,41.2,33,70,47.1,41,83,49.4,86,228,37.7,145,276,52.5,36,84,42.9,54,118,45.8,10,20,50,7,15,46.7,17,35,48.6,101,258,39.1
Malik Beasley,MIN,24,600,82,151,54.3,27,53,50.9,10,41,24.4,12,27,44.4,75,170,44.1,58,158,36.7,77,139,55.4,33,82,40.2,27,60,45,27,54,50,16,36,44.4,43,90,47.8,84,229,36.7
Malik Monk,CHA,23,317,54,97,55.7,11,24,45.8,4,16,25,7,17,41.2,23,42,54.8,49,121,40.5,52,91,57.1,16,40,40,10,26,38.5,10,16,62.5,7,13,53.8,17,29,58.6,53,136,39
Marcus Morris Sr.,LAC,31,386,18,39,46.2,10,30,33.3,34,61,55.7,20,55,36.4,49,94,52.1,47,107,43.9,18,35,51.4,23,59,39,41,94,43.6,25,47,53.2,15,25,60,40,72,55.6,56,130,43.1
Marcus Smart,BOS,27,317,36,73,49.3,12,25,48,10,25,40,13,19,68.4,21,50,42,37,125,29.6,34,69,49.3,18,41,43.9,19,37,51.4,8,17,47.1,4,8,50,12,25,48,47,147,32
Markieff Morris,LAL,31,255,29,43,67.4,14,26,53.8,11,27,40.7,5,11,45.5,29,74,39.2,21,74,28.4,26,40,65,20,40,50,13,31,41.9,11,34,32.4,11,24,45.8,22,58,37.9,28,87,32.2
Marvin Bagley III,SAC,22,415,137,210,65.2,28,86,32.6,6,12,50,4,11,36.4,21,52,40.4,13,44,29.5,121,180,67.2,47,119,39.5,7,21,33.3,15,30,50,3,13,23.1,18,43,41.9,16,53,30.2
Mason Plumlee,DET,31,324,171,237,72.2,17,48,35.4,2,13,15.4,6,15,40,0,8,0,0,3,0,159,211,75.4,29,76,38.2,8,30,26.7,0,2,0,0,2,0,0,4,0,0,3,0
Michael Carter-Williams,ORL,29,229,56,106,52.8,12,38,31.6,6,25,24,0,10,0,7,18,38.9,6,32,18.8,50,88,56.8,23,75,30.7,3,19,15.8,3,7,42.9,2,5,40,5,12,41.7,6,35,17.1
Michael Porter Jr.,DEN,22,460,110,156,70.5,12,28,42.9,8,16,50,16,34,47.1,47,97,48.5,55,129,42.6,99,134,73.9,26,55,47.3,27,59,45.8,20,40,50,13,25,52,33,65,50.8,63,149,42.3
Mikal Bridges,PHX,24,462,117,151,77.5,20,46,43.5,13,35,37.1,6,15,40,68,148,45.9,21,67,31.3,112,144,77.8,35,81,43.2,12,27,44.4,27,54,50,28,69,40.6,55,123,44.7,31,87,35.6
Mike Conley,UTA,33,497,51,93,54.8,37,65,56.9,23,56,41.1,4,15,26.7,42,98,42.9,72,170,42.4,43,75,57.3,61,120,50.8,13,40,32.5,8,11,72.7,17,44,38.6,25,55,45.5,88,210,41.9
Mike Muscala,OKC,29,264,29,45,64.4,6,10,60,7,9,77.8,7,15,46.7,30,75,40,39,110,35.5,26,41,63.4,12,18,66.7,13,25,52,11,28,39.3,9,20,45,20,48,41.7,48,134,35.8
Miles Bridges,CHA,23,369,105,157,66.9,10,23,43.5,2,9,22.2,1,8,12.5,33,81,40.7,32,91,35.2,99,142,69.7,16,39,41,4,22,18.2,14,34,41.2,10,28,35.7,24,62,38.7,40,104,38.5
Monte Morris,DEN,25,312,65,95,68.4,13,35,37.1,16,32,50,11,30,36.7,19,60,31.7,24,60,40,62,84,73.8,24,63,38.1,21,50,42,3,19,15.8,4,15,26.7,7,34,20.6,34,81,42
Montrezl Harrell,LAL,27,486,239,332,72,36,66,54.5,23,54,42.6,9,26,34.6,0,4,0,0,4,0,230,310,74.2,51,109,46.8,26,59,44.1,0,1,0,0,0,0,0,1,0,0,9,0
Myles Turner,IND,25,415,114,168,67.9,15,32,46.9,3,11,27.3,2,6,33.3,19,62,30.6,47,136,34.6,107,158,67.7,23,45,51.1,5,17,29.4,6,19,31.6,8,28,28.6,14,47,29.8,52,151,34.4
Naz Reid,MIN,21,393,135,207,65.2,29,67,43.3,0,6,0,0,0,0,18,45,40,23,68,33.8,122,184,66.3,41,88,46.6,1,8,12.5,5,17,29.4,4,9,44.4,9,26,34.6,32,88,36.4
Nickeil Alexander-Walker,NOP,22,376,54,110,49.1,18,35,51.4,5,12,41.7,10,20,50,43,114,37.7,28,85,32.9,54,108,50,20,41,48.8,19,42,45.2,11,28,39.3,13,33,39.4,24,61,39.3,41,126,32.5
Nicolas Batum,LAC,32,299,35,54,64.8,1,3,33.3,5,11,45.5,6,17,35.3,50,120,41.7,40,94,42.6,35,54,64.8,2,8,25,14,34,41.2,22,53,41.5,19,41,46.3,41,94,43.6,45,109,41.3
Nikola Jokic,DEN,26,894,210,318,66,120,199,60.3,48,109,44,50,90,55.6,28,50,56,52,128,40.6,181,263,68.8,166,295,56.3,88,169,52.1,2,2,100,1,4,25,3,6,50,70,162,43.2
Nikola Vucevic,CHI,30,985,127,192,66.1,84,175,48,64,142,45.1,57,125,45.6,42,96,43.8,102,255,40,111,163,68.1,118,245,48.2,125,269,46.5,2,4,50,0,1,0,2,5,40,121,304,39.8
Norman Powell,POR,27,616,141,236,59.7,17,47,36.2,8,23,34.8,10,19,52.6,70,137,51.1,60,154,39,131,209,62.7,27,72,37.5,22,50,44,30,55,54.5,22,43,51.2,52,98,53.1,76,193,39.4
OG Anunoby,TOR,23,359,86,132,65.2,5,23,21.7,6,12,50,2,8,25,40,99,40.4,34,85,40,79,117,67.5,13,38,34.2,9,23,39.1,18,39,46.2,18,44,40.9,36,83,43.4,37,101,36.6
Otto Porter Jr.,ORL,27,225,29,44,65.9,6,22,27.3,11,22,50,7,21,33.3,26,60,43.3,19,56,33.9,29,40,72.5,12,38,31.6,18,46,39.1,9,20,45,6,11,54.5,15,31,48.4,24,71,33.8
P.J. Washington,CHA,22,433,89,171,52,31,73,42.5,5,17,29.4,1,8,12.5,24,56,42.9,37,108,34.3,85,161,52.8,37,90,41.1,5,23,21.7,10,18,55.6,8,19,42.1,18,37,48.6,42,122,34.4
Pascal Siakam,TOR,27,664,151,255,59.2,50,123,40.7,19,44,43.2,25,58,43.1,17,62,27.4,40,122,32.8,139,229,60.7,76,173,43.9,35,87,40.2,3,20,15,8,20,40,11,40,27.5,41,135,30.4
Pat Connaughton,MIL,28,246,45,72,62.5,1,4,25,1,1,100,0,5,0,14,44,31.8,51,120,42.5,45,69,65.2,2,8,25,0,7,0,3,9,33.3,10,28,35.7,13,37,35.1,53,131,40.5
Patrick Williams,CHI,19,374,85,131,64.9,11,37,29.7,18,43,41.9,19,48,39.6,30,69,43.5,16,46,34.8,77,117,65.8,30,73,41.1,34,83,41,10,23,43.5,11,24,45.8,21,47,44.7,17,54,31.5
Patty Mills,SAS,32,468,43,75,57.3,3,10,30,4,11,36.4,18,36,50,52,114,45.6,82,222,36.9,41,71,57.7,6,18,33.3,29,58,50,15,32,46.9,11,24,45.8,26,56,46.4,100,267,37.5
Paul George,LAC,30,631,91,160,56.9,18,51,35.3,26,54,48.1,39,77,50.6,46,87,52.9,77,202,38.1,81,138,58.7,39,99,39.4,59,118,50,13,23,56.5,20,33,60.6,33,56,58.9,86,222,38.7
Paul Millsap,DEN,36,271,72,101,71.3,20,49,40.8,3,11,27.3,1,5,20,18,37,48.6,22,68,32.4,68,95,71.6,23,55,41.8,5,16,31.3,6,11,54.5,8,14,57.1,14,25,56,26,80,32.5
Payton Pritchard,BOS,23,251,35,61,57.4,8,18,44.4,5,15,33.3,3,9,33.3,27,50,54,38,98,38.8,30,51,58.8,18,37,48.6,9,26,34.6,8,15,53.3,6,13,46.2,14,28,50,45,116,38.8
PJ Dozier,DEN,24,204,40,71,56.3,7,19,36.8,2,9,22.2,5,19,26.3,14,39,35.9,17,47,36.2,38,60,63.3,10,36,27.8,7,23,30.4,4,11,36.4,3,13,23.1,7,24,29.2,23,61,37.7
Raul Neto,WAS,28,305,46,87,52.9,29,63,46,15,27,55.6,7,17,41.2,12,40,30,26,71,36.6,36,70,51.4,49,96,51,12,30,40,2,8,25,4,18,22.2,6,26,23.1,34,86,39.5
Reggie Bullock,NYK,30,349,20,41,48.8,6,11,54.5,10,18,55.6,12,28,42.9,47,113,41.6,56,138,40.6,20,38,52.6,13,23,56.5,22,52,42.3,17,42,40.5,11,29,37.9,28,71,39.4,69,168,41.1
Reggie Jackson,LAC,30,374,52,89,58.4,18,42,42.9,13,34,38.2,10,29,34.5,33,67,49.3,42,113,37.2,49,77,63.6,30,75,40,17,49,34.7,12,22,54.5,8,19,42.1,20,41,48.8,52,133,39.1
Richaun Holmes,SAC,27,438,157,221,71,38,78,48.7,71,101,70.3,13,30,43.3,1,2,50,1,6,16.7,147,202,72.8,94,159,59.1,39,70,55.7,0,0,0,0,1,0,0,1,0,2,7,28.6
Ricky Rubio,MIN,30,332,52,97,53.6,13,33,39.4,17,40,42.5,4,27,14.8,31,84,36.9,10,51,19.6,51,89,57.3,25,65,38.5,14,48,29.2,8,27,29.6,9,18,50,17,45,37.8,20,85,23.5
RJ Barrett,NYK,20,746,187,344,54.4,33,94,35.1,21,53,39.6,21,60,35,47,124,37.9,24,71,33.8,178,314,56.7,54,156,34.6,37,98,37.8,18,37,48.6,14,45,31.1,32,82,39,32,97,33
Robert Covington,POR,30,349,39,71,54.9,3,14,21.4,0,4,0,4,8,50,28,82,34.1,72,170,42.4,37,63,58.7,5,22,22.7,5,16,31.3,4,13,30.8,6,22,27.3,10,35,28.6,91,220,41.4
Robert Williams III,BOS,23,206,131,165,79.4,11,20,55,6,9,66.7,3,11,27.3,0,1,0,0,0,0,121,152,79.6,23,35,65.7,7,19,36.8,0,0,0,0,0,0,0,0,-,0,0,0
Robin Lopez,WAS,33,278,106,161,65.8,54,91,59.3,4,9,44.4,0,0,0,2,14,14.3,3,3,100,91,133,68.4,69,120,57.5,4,8,50,2,11,18.2,0,2,0,2,13,15.4,3,4,75
Rodney Hood,TOR,28,215,14,29,48.3,7,26,26.9,14,34,41.2,13,27,48.1,14,50,28,18,49,36.7,13,25,52,13,45,28.9,26,53,49.1,3,13,23.1,5,21,23.8,8,34,23.5,20,59,33.9
Royce O'Neale,UTA,27,276,39,60,65,2,8,25,1,2,50,0,1,0,38,92,41.3,41,113,36.3,38,55,69.1,4,14,28.6,0,4,0,15,31,48.4,17,39,43.6,32,70,45.7,47,134,35.1
Rudy Gay,SAS,34,402,38,72,52.8,21,44,47.7,19,56,33.9,17,48,35.4,28,67,41.8,46,115,40,34,63,54,32,76,42.1,33,91,36.3,4,14,28.6,8,21,38.1,12,35,34.3,58,141,41.1
Rudy Gobert,UTA,28,417,269,384,70.1,5,25,20,0,2,0,0,4,0,1,2,50,0,0,0,265,359,73.8,9,51,17.6,1,6,16.7,0,1,0,0,0,0,0,1,0,0,0,0
Rui Hachimura,WAS,23,455,100,155,64.5,30,62,48.4,22,51,43.1,26,67,38.8,16,55,29.1,24,65,36.9,85,126,67.5,58,121,47.9,40,105,38.1,4,14,28.6,5,17,29.4,9,31,29,26,72,36.1
Russell Westbrook,WAS,32,801,155,251,61.8,37,103,35.9,20,68,29.4,62,151,41.1,28,80,35,45,148,30.4,124,196,63.3,74,176,42,93,252,36.9,5,15,33.3,5,11,45.5,10,26,38.5,46,154,29.9
Saddiq Bey,DET,21,406,39,73,53.4,8,25,32,6,14,42.9,2,11,18.2,45,100,45,62,183,33.9,37,66,56.1,15,43,34.9,6,21,28.6,23,47,48.9,6,21,28.6,29,68,42.6,75,210,35.7
Serge Ibaka,LAC,31,345,84,123,68.3,23,57,40.4,8,21,38.1,20,32,62.5,7,21,33.3,32,91,35.2,77,107,72,34,83,41,27,49,55.1,0,2,0,1,6,16.7,1,8,12.5,37,100,37
Seth Curry,PHI,30,387,27,52,51.9,16,29,55.2,14,31,45.2,27,56,48.2,37,78,47.4,55,141,39,22,44,50,26,52,50,48,102,47.1,8,18,44.4,11,17,64.7,19,35,54.3,63,157,40.1
Shai Gilgeous-Alexander,OKC,22,562,145,237,61.2,41,78,52.6,20,51,39.2,8,23,34.8,25,56,44.6,47,117,40.2,137,223,61.4,61,123,49.6,18,49,36.7,6,9,66.7,2,9,22.2,8,18,44.4,63,152,41.4
