PLAYER,TEAM,AGE,TOTAL FG,FGM01,FGA01,FGP01,FGM02,FGA02,FGP02,FGM03,FGA03,FGP03,FGM04,FGA04,FGP04,FGM05,FGA05,FGP05,FGM06,FGA06,FGP06,FGM07,FGA07,FGP07,,
Damion Lee,GSW,28,236,17,21,81,16,26,61.5,7,18,38.9,9,25,36,16,30,53.3,25,55,45.5,42,116,36.2,,
Damyean Dotson,CLE,26,220,30,45,66.7,9,21,42.9,16,40,40,6,15,40,3,12,25,9,27,33.3,23,87,26.4,,
D'Angelo Russell,MIN,25,344,27,46,58.7,23,55,41.8,33,89,37.1,5,7,71.4,0,0,0,5,7,71.4,58,147,39.5,,
Daniel Theis,CHI,29,308,77,103,74.8,32,56,57.1,25,47,53.2,4,13,30.8,4,14,28.6,8,27,29.6,27,75,36,,
Danilo Gallinari,ATL,32,340,24,37,64.9,13,29,44.8,33,85,38.8,5,8,62.5,3,15,20,8,23,34.8,68,166,41,,
Danny Green,PHI,33,402,16,28,57.1,11,31,35.5,10,26,38.5,26,64,40.6,39,86,45.3,65,150,43.3,64,167,38.3,,
Danuel House Jr.,HOU,27,243,42,75,56,4,14,28.6,3,16,18.8,10,27,37,10,29,34.5,20,56,35.7,29,82,35.4,,
Dario Saric,PHX,26,242,52,85,61.2,21,41,51.2,4,17,23.5,6,8,75,5,6,83.3,11,14,78.6,24,85,28.2,,
Darius Bazley,OKC,20,402,83,135,61.5,9,46,19.6,12,36,33.3,11,31,35.5,4,21,19,15,52,28.8,39,133,29.3,,
Darius Garland,CLE,21,593,91,164,55.5,69,167,41.3,31,77,40.3,9,22,40.9,8,16,50,17,38,44.7,57,147,38.8,,
David Nwaba,HOU,28,218,79,124,63.7,10,30,33.3,0,1,0,0,13,0,6,19,31.6,6,32,18.8,11,31,35.5,,
Davis Bertans,WAS,28,304,11,16,68.8,4,9,44.4,1,10,10,7,19,36.8,9,21,42.9,16,40,40,89,229,38.9,,
De'Aaron Fox,SAC,23,933,188,271,69.4,113,240,47.1,55,147,37.4,6,17,35.3,4,9,44.4,10,26,38.5,80,249,32.1,,
Deandre Ayton,PHX,22,506,203,277,73.3,75,136,55.1,27,76,35.5,0,0,0,0,0,0,0,0,-,4,17,23.5,,
De'Andre Hunter,ATL,23,222,38,57,66.7,23,39,59,20,40,50,5,14,35.7,4,15,26.7,9,29,31,22,57,38.6,,
DeAndre Jordan,BKN,32,203,150,188,79.8,6,11,54.5,0,3,0,0,0,0,0,0,0,0,0,-,0,1,0,,
De'Anthony Melton,MEM,22,273,37,58,63.8,22,56,39.3,9,19,47.4,11,20,55,4,11,36.4,15,31,48.4,48,109,44,,
Dejounte Murray,SAS,24,660,107,170,62.9,66,158,41.8,88,199,44.2,5,17,29.4,5,14,35.7,10,31,32.3,31,102,30.4,,
Delon Wright,SAC,28,330,90,143,62.9,21,69,30.4,5,15,33.3,4,12,33.3,2,9,22.2,6,21,28.6,30,82,36.6,,
DeMar DeRozan,SAS,31,600,93,160,58.1,90,184,48.9,95,194,49,4,12,33.3,2,10,20,6,22,27.3,12,40,30,,
DeMarcus Cousins,HOU,30,210,33,75,44,7,16,43.8,0,3,0,2,3,66.7,2,6,33.3,4,9,44.4,35,107,32.7,,
Deni Avdija,WAS,20,263,37,53,69.8,23,52,44.2,6,16,37.5,5,21,23.8,5,18,27.8,10,39,25.6,35,103,34,,
Dennis Schroder,LAL,27,559,98,180,54.4,40,116,34.5,56,118,47.5,5,18,27.8,0,7,0,5,25,20,43,120,35.8,,
Denzel Valentine,CHI,27,321,15,25,60,29,77,37.7,16,33,48.5,7,19,36.8,4,15,26.7,11,34,32.4,51,152,33.6,,
Derrick Jones Jr.,POR,24,263,86,135,63.7,3,9,33.3,0,1,0,11,26,42.3,12,42,28.6,23,68,33.8,16,50,32,,
