PLAYER,TEAM,AGE,TOTAL FGA,FGM04,FGA04,FGP04,FGM59,FGA59,FGP59,FGM10,FGA10,FGP10,FGM15,FGA15,FGP15,FGM20,FGA20,FGP20,FGM25,FGA25,FGP25
DeMarcus Cousins,HOU,30,210,34,81,42,5,9,55.6,1,2,50,0,2,0,13,24,54.2,26,92,28.3
Cody Zeller,CHA,28,209,95,150,63.3,7,27,25.9,4,7,57.1,2,3,66.7,0,5,0,3,17,17.6
Khem Birch,ORL,28,207,55,96,57.3,19,47,40.4,7,25,28,8,16,50,5,21,23.8,0,2,0
Robert Williams III,BOS,23,206,131,165,79.4,11,20,55,6,9,66.7,3,11,27.3,0,1,0,0,0,0
Kira Lewis Jr.,NOP,20,205,50,86,58.1,6,25,24,3,15,20,2,8,25,9,30,30,17,41,41.5
Cameron Payne,PHX,26,204,30,60,50,8,20,40,12,22,54.5,8,10,80,12,26,46.2,27,66,40.9
PJ Dozier,DEN,24,204,40,71,56.3,7,19,36.8,2,9,22.2,5,19,26.3,14,39,35.9,17,47,36.2
DeAndre Jordan,BKN,32,203,152,193,78.8,4,6,66.7,0,1,0,0,0,0,0,2,0,0,1,0
Chuma Okeke,ORL,22,202,27,43,62.8,5,19,26.3,5,13,38.5,9,20,45,20,49,40.8,22,58,37.9
Maxi Kleber,DAL,29,197,15,27,55.6,2,7,28.6,2,5,40,3,7,42.9,29,64,45.3,35,87,40.2
Alex Caruso,LAL,27,194,33,65,50.8,3,16,18.8,4,12,33.3,4,10,40,21,58,36.2,15,33,45.5
Jeff Teague,MIL,32,192,30,54,55.6,14,39,35.9,6,21,28.6,3,15,20,9,23,39.1,18,40,45
Solomon Hill,ATL,30,192,17,33,51.5,3,9,33.3,0,1,0,3,4,75,26,69,37.7,23,76,30.3
Brad Wanamaker,CHA,31,191,40,76,52.6,5,18,27.8,1,9,11.1,5,13,38.5,8,21,38.1,13,54,24.1
James Ennis III,ORL,30,189,42,71,59.2,7,22,31.8,4,8,50,4,7,57.1,21,34,61.8,16,47,34
Xavier Tillman,MEM,22,187,54,84,64.3,17,32,53.1,14,27,51.9,1,1,100,9,32,28.1,2,11,18.2
Devin Vassell,SAS,20,186,18,31,58.1,4,11,36.4,9,23,39.1,7,24,29.2,20,56,35.7,17,41,41.5
Bismack Biyombo,CHA,28,184,97,157,61.8,6,18,33.3,3,7,42.9,0,1,0,0,1,0,0,0,0
Gabe Vincent,MIA,24,184,28,45,62.2,3,10,30,2,4,50,2,7,28.6,10,40,25,24,78,30.8
Derrick Favors,UTA,29,183,82,122,67.2,18,27,66.7,9,19,47.4,5,12,41.7,0,3,0,0,0,0
Garrison Mathews,WAS,24,183,10,15,66.7,1,5,20,1,3,33.3,4,5,80,28,64,43.8,35,91,38.5
Kevin Porter Jr.,HOU,20,181,36,53,67.9,11,23,47.8,10,22,45.5,4,8,50,6,21,28.6,11,54,20.4
Andre Iguodala,MIA,37,180,20,33,60.6,2,5,40,1,5,20,0,1,0,30,85,35.3,17,51,33.3
Hassan Whiteside,SAC,31,179,53,82,64.6,29,64,45.3,11,20,55,5,11,45.5,1,1,100,0,1,0
James Johnson,NOP,34,179,56,82,68.3,5,18,27.8,2,5,40,1,2,50,11,40,27.5,11,32,34.4
Patrick Beverley,LAC,32,179,23,44,52.3,6,11,54.5,0,4,0,0,1,0,24,47,51.1,27,72,37.5
Precious Achiuwa,MIA,21,178,95,151,62.9,2,12,16.7,3,8,37.5,1,7,14.3,0,0,0,0,0,0
Mitchell Robinson,NYK,23,176,113,170,66.5,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0
Alex Len,WAS,27,174,90,117,76.9,12,27,44.4,2,8,25,0,1,0,4,15,26.7,2,6,33.3
Frank Kaminsky,PHX,28,174,42,70,60,8,20,40,4,12,33.3,1,7,14.3,13,22,59.1,14,43,32.6
Wesley Matthews,LAL,34,174,11,21,52.4,2,5,40,1,4,25,0,6,0,22,63,34.9,26,75,34.7
Dean Wade,CLE,24,173,26,42,61.9,2,4,50,4,7,57.1,0,4,0,12,35,34.3,28,81,34.6
Jordan McLaughlin,MIN,24,173,27,72,37.5,14,33,42.4,5,9,55.6,0,1,0,10,29,34.5,10,29,34.5
Juancho Hernangomez,MIN,25,173,45,76,59.2,1,5,20,0,0,0,0,0,0,18,43,41.9,11,49,22.4
Semi Ojeleye,BOS,26,171,15,27,55.6,3,7,42.9,2,10,20,1,1,100,29,73,39.7,20,53,37.7
Sekou Doumbouya,DET,20,167,37,67,55.2,2,13,15.4,0,9,0,0,1,0,8,30,26.7,11,47,23.4
Facundo Campazzo,DEN,30,166,12,21,57.1,7,17,41.2,2,7,28.6,1,5,20,19,49,38.8,22,67,32.8
Matisse Thybulle,PHI,24,165,31,49,63.3,4,10,40,1,5,20,0,1,0,9,47,19.1,21,53,39.6
Jarred Vanderbilt,MIN,22,163,96,147,65.3,1,9,11.1,0,2,0,0,1,0,1,3,33.3,0,1,0
Josh Okogie,MIN,22,163,42,79,53.2,0,11,0,0,3,0,0,1,0,7,39,17.9,9,30,30
Nemanja Bjelica,MIA,32,163,47,71,66.2,6,21,28.6,1,1,100,1,4,25,6,15,40,14,51,27.5
Grant Williams,BOS,22,160,25,44,56.8,9,20,45,1,7,14.3,3,4,75,25,50,50,9,35,25.7
Marc Gasol,LAL,36,158,13,20,65,8,16,50,5,17,29.4,3,4,75,8,20,40,28,81,34.6
