PLAYER,TEAM,AGE,TOTAL FGA,FGM04,FGA04,FGP04,FGM59,FGA59,FGP59,FGM10,FGA10,FGP10,FGM15,FGA15,FGP15,FGM20,FGA20,FGP20,FGM25,FGA25,FGP25
Jordan Clarkson,UTA,28,739,71,116,61.2,69,143,48.3,23,44,52.3,0,1,0,53,159,33.3,97,276,35.1
Khris Middleton,MIL,29,736,94,153,61.4,37,70,52.9,58,122,47.5,53,113,46.9,38,92,41.3,80,186,43
Terry Rozier,CHA,27,718,100,172,58.1,25,60,41.7,35,61,57.4,17,37,45.9,74,165,44.8,85,223,38.1
Buddy Hield,SAC,28,715,44,80,55,6,25,24,14,38,36.8,13,35,37.1,83,190,43.7,123,347,35.4
Zion Williamson,NOP,20,712,407,620,65.6,26,63,41.3,3,5,60,0,0,0,2,6,33.3,6,18,33.3
James Harden,BKN,31,711,149,250,59.6,53,111,47.7,9,24,37.5,6,10,60,22,53,41.5,93,263,35.4
Andrew Wiggins,GSW,26,708,137,211,64.9,35,76,46.1,22,62,35.5,31,76,40.8,42,117,35.9,71,166,42.8
Fred VanVleet,TOR,27,696,80,173,46.2,10,38,26.3,17,42,40.5,22,47,46.8,36,105,34.3,111,291,38.1
Tobias Harris,PHI,28,691,135,209,64.6,73,142,51.4,44,89,49.4,39,79,49.4,28,58,48.3,44,114,38.6
Domantas Sabonis,IND,24,671,253,373,67.8,42,108,38.9,11,36,30.6,11,35,31.4,6,20,30,30,99,30.3
Pascal Siakam,TOR,27,664,151,255,59.2,50,123,40.7,19,44,43.2,25,58,43.1,17,62,27.4,40,122,32.8
Dillon Brooks,MEM,25,659,77,140,55,22,73,30.1,56,129,43.4,26,65,40,36,87,41.4,48,165,29.1
Dejounte Murray,SAS,24,658,111,184,60.3,37,92,40.2,58,132,43.9,52,115,45.2,17,52,32.7,26,83,31.3
Gordon Hayward,CHA,31,658,109,173,63,36,97,37.1,43,94,45.7,33,69,47.8,39,86,45.3,51,139,36.7
Paul George,LAC,30,631,91,160,56.9,18,51,35.3,26,54,48.1,39,77,50.6,46,87,52.9,77,202,38.1
Kelly Oubre Jr.,GSW,25,629,145,243,59.7,31,82,37.8,19,39,48.7,6,19,31.6,41,120,34.2,32,126,25.4
Tim Hardaway Jr.,DAL,29,619,83,136,61,13,36,36.1,15,33,45.5,23,52,44.2,51,124,41.1,93,238,39.1
Norman Powell,POR,27,616,141,236,59.7,17,47,36.2,8,23,34.8,10,19,52.6,70,137,51.1,60,154,39
John Collins,ATL,23,610,185,262,70.6,34,84,40.5,37,73,50.7,13,28,46.4,24,66,36.4,40,97,41.2
Gary Trent Jr.,TOR,22,608,50,87,57.5,13,38,34.2,22,52,42.3,23,63,36.5,58,145,40,89,223,39.9
DeMar DeRozan,SAS,31,600,104,181,57.5,50,98,51,68,142,47.9,52,105,49.5,13,40,32.5,9,34,26.5
Malik Beasley,MIN,24,600,82,151,54.3,27,53,50.9,10,41,24.4,12,27,44.4,75,170,44.1,58,158,36.7
Coby White,CHI,21,594,81,164,49.4,13,37,35.1,18,34,52.9,24,59,40.7,51,121,42.1,57,179,31.8
Darius Garland,CLE,21,590,98,178,55.1,55,128,43,20,62,32.3,16,33,48.5,25,63,39.7,51,126,40.5
Ja Morant,MEM,21,589,149,253,58.9,43,116,37.1,34,75,45.3,4,15,26.7,6,22,27.3,27,108,25
Chris Paul,PHX,35,584,30,50,60,36,59,61,67,136,49.3,87,164,53,20,43,46.5,51,132,38.6
Bojan Bogdanovic,UTA,31,583,65,131,49.6,36,83,43.4,19,43,44.2,3,15,20,65,182,35.7,56,129,43.4
Joel Embiid,PHI,27,572,113,172,65.7,35,88,39.8,54,115,47,47,86,54.7,18,28,64.3,32,83,38.6
John Wall,HOU,30,568,109,212,51.4,16,34,47.1,13,31,41.9,20,75,26.7,21,57,36.8,50,159,31.4
Bam Adebayo,MIA,23,563,181,251,72.1,51,109,46.8,53,112,47.3,26,76,34.2,5,10,50,1,5,20
Carmelo Anthony,POR,36,563,28,52,53.8,18,44,40.9,50,112,44.6,49,106,46.2,43,123,35,46,126,36.5
Shai Gilgeous-Alexander,OKC,22,562,145,237,61.2,41,78,52.6,20,51,39.2,8,23,34.8,25,56,44.6,47,117,40.2
Dennis Schroder,LAL,27,558,110,213,51.6,22,58,37.9,27,73,37,31,60,51.7,20,59,33.9,31,95,32.6
Terrence Ross,ORL,30,555,29,53,54.7,14,43,32.6,40,74,54.1,46,103,44.7,33,105,31.4,63,177,35.6
Karl-Anthony Towns,MIN,25,549,135,212,63.7,34,80,42.5,8,30,26.7,11,24,45.8,29,73,39.7,50,130,38.5
Victor Oladipo,MIA,28,548,96,167,57.5,21,55,38.2,14,35,40,12,50,24,34,79,43,46,162,28.4
Kyle Kuzma,LAL,25,544,109,170,64.1,13,39,33.3,7,26,26.9,7,25,28,51,141,36.2,54,143,37.8
Tyler Herro,MIA,21,529,80,129,62,25,57,43.9,9,37,24.3,31,68,45.6,23,59,39,57,179,31.8
Harrison Barnes,SAC,28,519,144,228,63.2,34,75,45.3,7,18,38.9,1,3,33.3,30,85,35.3,41,110,37.3
Joe Harris,BKN,29,519,58,97,59.8,11,20,55,20,36,55.6,9,20,45,66,133,49.6,101,213,47.4
Kevin Huerter,ATL,22,517,46,84,54.8,24,61,39.3,29,59,49.2,13,24,54.2,46,112,41.1,57,177,32.2
LaMelo Ball,CHA,19,509,110,202,54.5,21,41,51.2,13,38,34.2,12,27,44.4,16,52,30.8,60,149,40.3
Deandre Ayton,PHX,22,506,212,299,70.9,54,94,57.4,30,63,47.6,7,28,25,3,9,33.3,3,13,23.1
Jimmy Butler,MIA,31,506,158,239,66.1,31,80,38.8,25,74,33.8,13,38,34.2,12,39,30.8,7,36,19.4
Jonas Valanciunas,MEM,28,502,182,288,63.2,62,121,51.2,17,44,38.6,6,9,66.7,3,12,25,9,28,32.1
Jrue Holiday,MIL,30,501,125,191,65.4,22,51,43.1,22,40,55,15,34,44.1,22,63,34.9,50,122,41
Will Barton,DEN,30,499,86,160,53.8,22,65,33.8,12,27,44.4,13,29,44.8,36,76,47.4,46,142,32.4
Mike Conley,UTA,33,497,51,93,54.8,37,65,56.9,23,56,41.1,4,15,26.7,42,98,42.9,72,170,42.4
Josh Jackson,DET,24,496,112,189,59.3,21,64,32.8,8,29,27.6,15,31,48.4,26,79,32.9,28,104,26.9
Duncan Robinson,MIA,26,492,37,46,80.4,4,9,44.4,3,8,37.5,1,6,16.7,54,133,40.6,115,290,39.7
Kyle Lowry,TOR,35,491,69,116,59.5,9,29,31,10,29,34.5,16,39,41,29,67,43.3,83,211,39.3
Clint Capela,ATL,26,488,263,416,63.2,21,61,34.4,3,10,30,1,1,100,0,0,0,0,0,0
Montrezl Harrell,LAL,27,486,239,332,72,36,66,54.5,23,54,42.6,9,26,34.6,0,4,0,0,4,0
Dwayne Bacon,ORL,25,484,89,169,52.7,20,54,37,16,43,37.2,18,57,31.6,17,63,27,32,98,32.7
Kristaps Porzingis,DAL,25,480,89,133,66.9,31,58,53.4,27,68,39.7,18,38,47.4,13,32,40.6,54,151,35.8
Eric Bledsoe,NOP,31,479,62,107,57.9,12,44,27.3,16,44,36.4,15,35,42.9,42,98,42.9,52,151,34.4
Elfrid Payton,NYK,27,475,124,227,54.6,40,99,40.4,12,42,28.6,11,23,47.8,12,47,25.5,8,37,21.6
Keldon Johnson,SAS,21,475,156,263,59.3,18,60,30,8,18,44.4,2,9,22.2,16,49,32.7,26,76,34.2
Lonzo Ball,NOP,23,475,54,94,57.4,5,18,27.8,6,19,31.6,13,27,48.1,51,127,40.2,75,190,39.5
Kemba Walker,BOS,30,470,54,91,59.3,11,35,31.4,15,36,41.7,15,46,32.6,17,59,28.8,77,203,37.9
Lou Williams,ATL,34,469,49,93,52.7,29,71,40.8,34,81,42,30,86,34.9,29,71,40.8,26,67,38.8
Shake Milton,PHI,24,469,66,124,53.2,37,79,46.8,34,66,51.5,28,55,50.9,19,44,43.2,31,101,30.7
Patty Mills,SAS,32,468,43,75,57.3,3,10,30,4,11,36.4,18,36,50,52,114,45.6,82,222,36.9
Mikal Bridges,PHX,24,462,117,151,77.5,20,46,43.5,13,35,37.1,6,15,40,68,148,45.9,21,67,31.3
Tyrese Haliburton,SAC,21,462,54,80,67.5,36,69,52.2,21,44,47.7,17,34,50,45,105,42.9,54,130,41.5
Michael Porter Jr.,DEN,22,460,110,156,70.5,12,28,42.9,8,16,50,16,34,47.1,47,97,48.5,55,129,42.6
CJ McCollum,POR,29,457,37,69,53.6,17,43,39.5,21,44,47.7,21,43,48.8,39,99,39.4,69,159,43.4
Rui Hachimura,WAS,23,455,100,155,64.5,30,62,48.4,22,51,43.1,26,67,38.8,16,55,29.1,24,65,36.9
Luguentz Dort,OKC,21,454,80,159,50.3,10,37,27,3,10,30,3,7,42.9,37,96,38.5,43,145,29.7
Ben Simmons,PHI,24,453,197,322,61.2,37,91,40.7,9,30,30,1,1,100,1,5,20,2,4,50
Doug McDermott,IND,29,451,144,219,65.8,11,20,55,1,4,25,1,2,50,28,71,39.4,53,135,39.3
Cedi Osman,CLE,25,446,59,125,47.2,11,37,29.7,8,21,38.1,1,8,12.5,27,89,30.3,52,166,31.3
Chris Boucher,TOR,28,445,140,213,65.7,12,32,37.5,2,4,50,3,8,37.5,15,43,34.9,59,145,40.7
Devonte' Graham,CHA,26,445,16,41,39,5,19,26.3,7,26,26.9,22,47,46.8,30,70,42.9,88,242,36.4
Donte DiVincenzo,MIL,24,442,74,147,50.3,7,17,41.2,6,21,28.6,6,18,33.3,25,56,44.6,68,183,37.2
Richaun Holmes,SAC,27,438,157,221,71,38,78,48.7,71,101,70.3,13,30,43.3,1,2,50,1,6,16.7
Immanuel Quickley,NYK,21,437,23,41,56.1,30,79,38,23,68,33.8,7,24,29.2,25,56,44.6,60,169,35.5
Justin Holiday,IND,32,437,50,85,58.8,2,6,33.3,1,8,12.5,8,18,44.4,59,152,38.8,63,168,37.5
Kelly Olynyk,HOU,29,435,92,119,77.3,10,24,41.7,4,12,33.3,3,7,42.9,30,88,34.1,62,185,33.5
P.J. Washington,CHA,22,433,89,171,52,31,73,42.5,5,17,29.4,1,8,12.5,24,56,42.9,37,108,34.3
Kendrick Nunn,MIA,25,432,77,126,61.1,14,30,46.7,11,30,36.7,18,35,51.4,18,57,31.6,60,154,39
Kyle Anderson,MEM,27,431,60,94,63.8,38,77,49.4,33,59,55.9,7,25,28,41,109,37.6,25,67,37.3
Brook Lopez,MIL,33,425,99,131,75.6,23,56,41.1,6,15,40,2,10,20,32,79,40.5,43,134,32.1
Thaddeus Young,CHI,32,424,177,268,66,58,110,52.7,7,13,53.8,2,9,22.2,4,16,25,2,8,25
Rudy Gobert,UTA,28,417,269,384,70.1,5,25,20,0,2,0,0,4,0,1,2,50,0,0,0
Marvin Bagley III,SAC,22,415,137,210,65.2,28,86,32.6,6,12,50,4,11,36.4,21,52,40.4,13,44,29.5
Myles Turner,IND,25,415,114,168,67.9,15,32,46.9,3,11,27.3,2,6,33.3,19,62,30.6,47,136,34.6
Christian Wood,HOU,25,414,134,173,77.5,17,51,33.3,10,25,40,8,30,26.7,16,44,36.4,33,91,36.3
Enes Kanter,POR,28,412,231,357,64.7,14,41,34.1,2,6,33.3,1,7,14.3,0,0,0,0,1,0
